Group,Best_Method,Best_MAPE,Prophet_MAPE,SARIMA_MAPE,ETS_MAPE,Holt_MAPE,Simple_Avg_MAPE,Weighted_Avg_MAPE,Top2_Avg_MAPE,Prophet_SARIMA_MAPE,File
BON TAT | Mid-Range,Weighted_Average,2.8997833091123035,19.24156139507615,10.316248842103802,12.281944736939705,3.0993629914794028,6.326613879095509,2.8997833091123035,5.029231484538895,13.257751504090976,BON TAT_Mid-Range_forecast.csv
Unknown | Entry-Level,Top2_Average,2.9758776051701865,3.9855182862051426,16.532118891792805,8.682567352517458,5.785954911169709,7.6167644369207474,4.897654161456421,2.9758776051701865,8.872666764724169,Unknown_Entry-Level_forecast.csv
JAMAIS UTILIS | Other,Top2_Average,3.770295608762125,100.17670453631507,13.038187170029792,9.768448298164305,10.069810414906248,22.43344062414908,5.766137246064856,3.770295608762125,43.728214078632135,JAMAIS UTILIS_Other_forecast.csv
Unknown | Other,SARIMA,4.468216626352717,30.18057335826522,4.468216626352717,24.361320462840006,19.486268638329904,13.918133515926506,7.4206649382088425,9.983959398510077,15.370740777249884,Unknown_Other_forecast.csv
Unknown | Mid-Range,Top2_Average,5.372807325241213,924.3951583353097,10.65488155733175,13.7055999152767,7.85660852551999,234.87902150819102,8.543187247512787,5.372807325241213,466.5194020067999,Unknown_Mid-Range_forecast.csv
JAMAIS UTILIS | High-End,Holt,5.911778654240632,132.2431381277011,25.91987838979131,10.921593258610333,5.911778654240632,38.312719307191486,7.457176322656286,6.606222706301374,73.65276761006295,JAMAIS UTILIS_High-End_forecast.csv
BON TAT | Ultra High-End,Weighted_Average,8.488577166402997,545.0518788809042,37.34864989115555,,8.56850433119521,182.31520354464035,8.488577166402997,22.59315281753173,277.7570574825581,BON TAT_Ultra High-End_forecast.csv
BON TAT | High-End,Weighted_Average,8.72530644348386,19.235343675729176,14.41814845595756,12.64133612316159,10.779984069009437,9.014321406089488,8.72530644348386,9.966346316793356,14.726754690011267,BON TAT_High-End_forecast.csv
BON TAT | Entry-Level,Holt,9.465310102349191,11.276663764442358,18.50036856024412,23.246585959067847,9.465310102349191,12.647214664522135,11.254351623326022,9.567113067912935,13.380249494801413,BON TAT_Entry-Level_forecast.csv
BON TAT | Other,Top2_Average,9.82225916198369,11.695013296546763,56.08026995892072,20.535167342619154,10.37062203825822,20.891399653091426,12.64423516726954,9.82225916198369,31.68032179054952,BON TAT_Other_forecast.csv
JAMAIS UTILIS | Mid-Range,Simple_Average,10.054664863958324,18.165976274656394,43.92782345096661,19.008441213061307,24.10441800537375,10.054664863958324,11.577644741466136,15.286129649751876,27.158679996684203,JAMAIS UTILIS_Mid-Range_forecast.csv
Unknown | High-End,Top2_Average,11.138937628081177,19.489568345177315,29.215945723458503,29.901577804700274,16.583553085639817,16.32328279533795,13.330401275992191,11.138937628081177,22.54983648150506,Unknown_High-End_forecast.csv
JAMAIS UTILIS | Entry-Level,Holt,12.46915697036461,204.47077947109173,40.369967261005634,19.552720000181864,12.46915697036461,65.3249600086547,20.490422354003375,12.837054391689204,122.4203733660487,JAMAIS UTILIS_Entry-Level_forecast.csv
MOYEN | Entry-Level,Holt,13.753674906263068,136.98989488339873,242.0074928115422,,13.753674906263068,122.30017888732756,23.42662466961689,73.35870227351354,183.01085680154276,MOYEN_Entry-Level_forecast.csv
MOYEN | Other,SARIMA,14.464528771238147,65.9858488645145,14.464528771238147,,54.84110033315699,45.09715932296988,29.261468499072365,34.65281455219757,40.22518881787633,MOYEN_Other_forecast.csv
JAMAIS UTILIS | Ultra High-End,SARIMA,19.272038161197464,1970.6295868044688,19.272038161197464,,27.72147717388393,661.7119989275066,25.547204253742134,23.496757667540706,985.0137024500021,JAMAIS UTILIS_Ultra High-End_forecast.csv
MOYEN | High-End,Holt,12.43,70.73297865564851,24.2186005577195,,12.43,38.27812375027624,28.376038861781545,22.05069629759009,47.475789606683996,MOYEN_High-End_forecast.csv
Unknown | Ultra High-End,Holt,6.50,954.4945934821843,32.40063498646973,,6.50,324.4487616590606,34.69582681278551,21.200469188275846,479.5581110120351,Unknown_Ultra High-End_forecast.csv
MOYEN | Mid-Range,Holt,18.46,636.703499778476,41.74977997879082,,18.46,222.29491932800389,36.75417585205489,25.053614899937482,322.1861898361213,MOYEN_Mid-Range_forecast.csv
